demands,rdf,rde,success,time_over
162,0,2,4,0
162,2,9,4,0
162,2,10,6,0
162,4,20,7,0
162,5,26,7,0
162,5,28,10,0
162,5,32,10,0
162,6,36,10,0
162,7,39,11,0
162,9,46,11,0
162,14,49,12,0
162,16,51,12,0
162,18,53,12,0
162,20,57,12,0
162,20,62,14,0
162,20,66,14,0
162,21,67,16,0
162,21,73,18,0
162,24,80,18,0
162,27,87,19,0
162,27,92,19,1
162,27,95,20,4
162,29,98,20,7
162,29,100,21,9
162,29,100,22,12
162,29,101,22,15
162,29,101,22,19
162,29,101,22,23
162,29,101,22,28
162,29,101,22,31
162,29,101,22,31
