demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,2,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
9,0,0,1,0,0,0,0
9,0,0,1,0,0,0,0
9,0,0,2,0,0,0,0
9,0,0,2,0,0,0,0
9,0,0,4,0,0,0,0
9,0,0,4,0,0,0,0
9,0,0,4,0,0,0,0
9,0,0,4,0,0,0,0
9,0,0,4,0,0,0,0
9,0,0,4,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,5,0,0,0,0
9,0,0,7,0,0,0,0
9,0,0,7,1,0,0,0
9,0,0,7,1,0,0,0
9,0,0,7,1,0,0,0
9,0,0,7,1,0,0,0
9,0,0,7,1,0,0,0
9,0,0,7,2,0,0,0
9,0,0,7,2,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0
3,0,0,2,0,0,0,0
3,0,0,2,0,0,0,0
3,0,0,2,0,0,0,0
3,0,0,2,0,0,0,0
3,0,0,2,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
3,0,0,3,0,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
6,0,0,0,0,0,0,0
6,0,0,1,0,0,0,0
6,0,0,1,0,0,0,0
6,0,0,1,0,0,0,0
6,0,0,1,0,0,0,0
6,0,0,1,0,0,0,0
6,0,0,2,0,0,0,0
6,0,0,3,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,4,0,0,0,0
6,0,0,5,0,0,0,0
6,0,0,5,0,0,0,0
6,0,0,5,1,0,0,0
6,0,0,5,1,0,0,0
6,0,0,5,1,0,0,0
