,type,y,x,t,usage_stats
0,car0,39.8406,54.5062,0,
1,car0,39.8406,54.5062,1,
2,car0,39.8406,54.5062,2,
3,car0,39.8406,54.5062,3,
4,car0,39.8406,54.5062,4,
5,car0,39.8406,54.5062,5,
6,car0,39.8406,54.5062,6,
7,car0,39.8406,54.5062,7,
8,car0,39.8406,54.5062,8,
9,car0,39.8406,54.5062,9,
10,car0,39.8406,54.5062,10,
11,car0,42.0982,53.5048,11,
12,car0,44.3558,52.5034,12,
13,car0,46.6134,51.502,13,
14,car0,48.871,50.5006,14,
15,car0,51.1286,49.4992,15,
16,car0,53.3862,48.4978,16,
17,car0,55.6438,47.4964,17,
18,car0,57.9014,46.495,18,
19,car0,60.1594,45.4938,19,
20,car0,57.9018,46.4952,20,
21,car0,55.6442,47.4966,21,
22,car0,53.3866,48.498,22,
23,car0,51.129,49.4994,23,
24,car0,48.8714,50.5008,24,
25,car0,46.6138,51.5022,25,
26,car0,44.3562,52.5036,26,
27,car0,42.0986,53.505,27,
28,car0,39.8406,54.5062,28,
29,car0,39.8406,54.5062,29,
30,car0,39.8406,54.5062,30,
31,car1,53.3347,53.942,0,
32,car1,54.6996,52.2524,1,
33,car1,56.0645,50.5628,2,
34,car1,57.4294,48.8732,3,
35,car1,58.7943,47.1836,4,
36,car1,60.1594,45.4938,5,
37,car1,60.1594,45.4938,6,
38,car1,60.1594,45.4938,7,
39,car1,60.1594,45.4938,8,
40,car1,60.1594,45.4938,9,
41,car1,60.1594,45.4938,10,
42,car1,58.7945,47.1834,11,
43,car1,57.4296,48.873,12,
44,car1,56.0647,50.5626,13,
45,car1,54.6998,52.2522,14,
46,car1,53.3347,53.942,15,
47,car1,53.3347,53.942,16,
48,car1,53.3347,53.942,17,
49,car1,53.3347,53.942,18,
50,car1,53.3347,53.942,19,
51,car1,53.3347,53.942,20,
52,car1,54.6996,52.2524,21,
53,car1,56.0645,50.5628,22,
54,car1,57.4294,48.8732,23,
55,car1,58.7943,47.1836,24,
56,car1,60.1594,45.4938,25,
57,car1,58.7945,47.1834,26,
58,car1,57.4296,48.873,27,
59,car1,56.0647,50.5626,28,
60,car1,54.6998,52.2522,29,
61,car1,53.3347,53.942,30,
62,car2,53.3347,53.942,0,
63,car2,53.3347,53.942,1,
64,car2,51.6479,54.0125,2,
65,car2,49.9611,54.083,3,
66,car2,48.2743,54.1535,4,
67,car2,46.5875,54.224,5,
68,car2,44.9007,54.2945,6,
69,car2,43.2139,54.365,7,
70,car2,41.5271,54.4355,8,
71,car2,39.8406,54.5062,9,
72,car2,39.8406,54.5062,10,
73,car2,39.8406,54.5062,11,
74,car2,39.8406,54.5062,12,
75,car2,39.8406,54.5062,13,
76,car2,39.8406,54.5062,14,
77,car2,39.8406,54.5062,15,
78,car2,41.5274,54.4357,16,
79,car2,43.2142,54.3652,17,
80,car2,44.901,54.2947,18,
81,car2,46.5878,54.2242,19,
82,car2,48.2746,54.1537,20,
83,car2,49.9614,54.0832,21,
84,car2,51.6482,54.0127,22,
85,car2,53.3347,53.942,23,
86,car2,53.3347,53.942,24,
87,car2,53.3347,53.942,25,
88,car2,53.3347,53.942,26,
89,car2,53.3347,53.942,27,
90,car2,53.3347,53.942,28,
91,car2,53.3347,53.942,29,
92,car2,53.3347,53.942,30,
93,car3,60.1594,45.4938,0,
94,car3,60.1594,45.4938,1,
95,car3,60.1594,45.4938,2,
96,car3,60.1594,45.4938,3,
97,car3,60.1594,45.4938,4,
98,car3,60.1594,45.4938,5,
99,car3,60.1594,45.4938,6,
100,car3,60.1594,45.4938,7,
101,car3,60.1594,45.4938,8,
102,car3,60.1594,45.4938,9,
103,car3,60.1594,45.4938,10,
104,car3,60.1594,45.4938,11,
105,car3,60.1594,45.4938,12,
106,car3,57.9018,46.4952,13,
107,car3,55.6442,47.4966,14,
108,car3,53.3866,48.498,15,
109,car3,51.129,49.4994,16,
110,car3,48.8714,50.5008,17,
111,car3,46.6138,51.5022,18,
112,car3,44.3562,52.5036,19,
113,car3,42.0986,53.505,20,
114,car3,39.8406,54.5062,21,
115,car3,42.0982,53.5048,22,
116,car3,44.3558,52.5034,23,
117,car3,46.6134,51.502,24,
118,car3,48.871,50.5006,25,
119,car3,51.1286,49.4992,26,
120,car3,53.3862,48.4978,27,
121,car3,55.6438,47.4964,28,
122,car3,57.9014,46.495,29,
123,car3,60.1594,45.4938,30,
124,stations0,39.8406,54.5062,0,0.5
125,stations0,39.8406,54.5062,1,0.5
126,stations0,39.8406,54.5062,2,0.5
127,stations0,39.8406,54.5062,3,0.5
128,stations0,39.8406,54.5062,4,0.5
129,stations0,39.8406,54.5062,5,0.5
130,stations0,39.8406,54.5062,6,0.5
131,stations0,39.8406,54.5062,7,0.5
132,stations0,39.8406,54.5062,8,0.5
133,stations0,39.8406,54.5062,9,1.0
134,stations0,39.8406,54.5062,10,1.0
135,stations0,39.8406,54.5062,11,0.5
136,stations0,39.8406,54.5062,12,0.5
137,stations0,39.8406,54.5062,13,0.5
138,stations0,39.8406,54.5062,14,0.5
139,stations0,39.8406,54.5062,15,0.5
140,stations0,39.8406,54.5062,16,0.0
141,stations0,39.8406,54.5062,17,0.0
142,stations0,39.8406,54.5062,18,0.0
143,stations0,39.8406,54.5062,19,0.0
144,stations0,39.8406,54.5062,20,0.0
145,stations0,39.8406,54.5062,21,0.5
146,stations0,39.8406,54.5062,22,0.0
147,stations0,39.8406,54.5062,23,0.0
148,stations0,39.8406,54.5062,24,0.0
149,stations0,39.8406,54.5062,25,0.0
150,stations0,39.8406,54.5062,26,0.0
151,stations0,39.8406,54.5062,27,0.0
152,stations0,39.8406,54.5062,28,0.5
153,stations0,39.8406,54.5062,29,0.5
154,stations0,39.8406,54.5062,30,0.5
155,stations1,53.3347,53.942,0,0.67
156,stations1,53.3347,53.942,1,0.33
157,stations1,53.3347,53.942,2,0.0
158,stations1,53.3347,53.942,3,0.0
159,stations1,53.3347,53.942,4,0.0
160,stations1,53.3347,53.942,5,0.0
161,stations1,53.3347,53.942,6,0.0
162,stations1,53.3347,53.942,7,0.0
163,stations1,53.3347,53.942,8,0.0
164,stations1,53.3347,53.942,9,0.0
165,stations1,53.3347,53.942,10,0.0
166,stations1,53.3347,53.942,11,0.0
167,stations1,53.3347,53.942,12,0.0
168,stations1,53.3347,53.942,13,0.0
169,stations1,53.3347,53.942,14,0.0
170,stations1,53.3347,53.942,15,0.33
171,stations1,53.3347,53.942,16,0.33
172,stations1,53.3347,53.942,17,0.33
173,stations1,53.3347,53.942,18,0.33
174,stations1,53.3347,53.942,19,0.33
175,stations1,53.3347,53.942,20,0.33
176,stations1,53.3347,53.942,21,0.0
177,stations1,53.3347,53.942,22,0.0
178,stations1,53.3347,53.942,23,0.33
179,stations1,53.3347,53.942,24,0.33
180,stations1,53.3347,53.942,25,0.33
181,stations1,53.3347,53.942,26,0.33
182,stations1,53.3347,53.942,27,0.33
183,stations1,53.3347,53.942,28,0.33
184,stations1,53.3347,53.942,29,0.33
185,stations1,53.3347,53.942,30,0.67
186,stations2,60.1594,45.4938,0,0.5
187,stations2,60.1594,45.4938,1,0.5
188,stations2,60.1594,45.4938,2,0.5
189,stations2,60.1594,45.4938,3,0.5
190,stations2,60.1594,45.4938,4,0.5
191,stations2,60.1594,45.4938,5,1.0
192,stations2,60.1594,45.4938,6,1.0
193,stations2,60.1594,45.4938,7,1.0
194,stations2,60.1594,45.4938,8,1.0
195,stations2,60.1594,45.4938,9,1.0
196,stations2,60.1594,45.4938,10,1.0
197,stations2,60.1594,45.4938,11,0.5
198,stations2,60.1594,45.4938,12,0.5
199,stations2,60.1594,45.4938,13,0.0
200,stations2,60.1594,45.4938,14,0.0
201,stations2,60.1594,45.4938,15,0.0
202,stations2,60.1594,45.4938,16,0.0
203,stations2,60.1594,45.4938,17,0.0
204,stations2,60.1594,45.4938,18,0.0
205,stations2,60.1594,45.4938,19,0.5
206,stations2,60.1594,45.4938,20,0.0
207,stations2,60.1594,45.4938,21,0.0
208,stations2,60.1594,45.4938,22,0.0
209,stations2,60.1594,45.4938,23,0.0
210,stations2,60.1594,45.4938,24,0.0
211,stations2,60.1594,45.4938,25,0.5
212,stations2,60.1594,45.4938,26,0.0
213,stations2,60.1594,45.4938,27,0.0
214,stations2,60.1594,45.4938,28,0.0
215,stations2,60.1594,45.4938,29,0.0
216,stations2,60.1594,45.4938,30,0.5
