demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
80,0,0,0,0,0,0,0
80,1,0,2,0,0,0,0
80,1,0,2,0,0,0,0
80,1,0,2,0,0,0,0
80,1,0,2,0,0,0,0
80,1,0,3,0,0,0,0
80,1,0,3,0,0,0,0
80,1,0,3,0,0,0,0
80,1,0,3,0,0,0,0
80,1,0,4,0,0,0,0
80,1,0,6,0,0,0,0
80,1,0,7,0,0,0,0
80,1,0,7,0,0,0,0
80,1,0,8,0,0,0,0
80,1,0,8,0,0,0,0
80,1,0,8,0,0,0,0
80,1,0,8,0,0,0,0
80,1,0,8,0,0,0,0
80,1,0,8,0,0,0,0
80,1,0,8,0,0,0,0
80,1,0,8,0,0,0,0
80,1,0,9,0,1,0,0
80,1,0,9,0,1,0,0
80,1,0,9,0,1,0,0
80,1,0,9,0,1,0,0
80,1,0,9,0,1,0,0
80,1,0,9,0,1,0,0
80,1,0,9,0,1,0,0
80,1,0,9,0,1,0,0
80,1,0,10,0,2,0,0
80,1,0,10,0,2,0,0
80,1,0,10,0,2,0,0
80,1,0,10,0,2,0,0
80,1,0,10,0,2,0,0
80,1,0,10,0,2,0,0
80,1,0,13,0,2,1,0
80,1,0,13,0,2,1,0
80,1,0,14,0,2,2,0
80,1,0,16,0,2,2,0
80,1,0,17,0,2,2,0
80,1,0,18,0,2,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,19,0,3,2,0
80,1,0,20,0,3,2,0
80,1,0,20,0,3,2,0
80,1,0,20,0,3,2,0
80,1,0,20,0,3,2,0
80,1,0,20,0,3,2,0
80,1,0,20,0,3,2,0
80,1,0,22,0,3,3,0
80,1,0,22,0,3,3,0
80,1,0,22,0,3,3,0
80,1,0,22,0,3,3,0
80,1,0,23,0,3,3,0
80,1,0,24,0,3,3,0
80,1,0,24,0,3,3,0
80,1,0,25,0,4,3,0
80,1,0,25,0,4,3,0
80,1,0,25,0,4,3,0
80,1,0,26,0,5,3,0
80,1,0,26,0,5,3,0
80,1,0,26,0,5,3,0
80,1,0,26,0,5,3,0
80,1,0,26,0,5,3,0
80,1,0,26,0,5,3,0
80,1,0,26,0,5,3,0
80,1,0,27,0,5,3,0
80,1,0,27,0,5,3,0
80,1,0,27,0,5,3,0
80,1,0,27,0,5,3,0
80,1,0,28,0,5,3,0
80,1,0,30,0,6,3,0
80,1,0,31,0,6,3,0
80,1,0,33,0,6,3,0
80,1,0,33,0,6,3,0
80,1,0,33,0,6,3,0
80,1,0,34,0,6,3,0
80,1,0,34,0,6,3,0
80,1,0,34,0,6,3,0
80,1,0,34,0,6,3,0
80,1,0,34,0,6,3,0
80,1,0,34,0,6,3,0
80,1,0,34,0,6,3,0
80,1,0,35,0,7,3,0
80,1,0,37,0,7,3,0
80,1,0,39,0,7,3,0
80,1,0,39,0,7,3,0
80,1,0,39,0,7,3,0
80,1,0,39,0,7,3,0
80,1,0,39,0,7,3,0
80,1,0,39,0,7,3,0
80,1,0,39,0,7,3,0
80,1,0,40,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,41,0,8,3,0
80,1,0,42,0,8,3,0
80,1,0,43,0,9,3,0
80,1,0,44,0,9,3,0
80,1,0,44,0,9,3,1
80,1,1,45,0,9,3,2
80,1,1,45,0,9,3,2
80,1,1,45,0,9,3,2
80,1,2,45,0,10,3,2
80,1,2,46,0,10,3,2
80,1,2,46,0,10,3,2
80,1,2,46,0,10,3,2
80,1,2,46,0,10,3,2
80,1,2,46,0,10,3,2
80,1,2,46,0,10,3,2
80,1,2,47,0,10,3,2
80,1,2,48,0,10,3,2
80,1,2,48,0,10,3,3
80,1,2,48,0,10,3,3
80,1,2,48,0,10,3,3
80,1,2,48,0,10,3,3
80,1,2,48,0,10,3,3
80,1,2,48,0,10,3,3
80,1,2,48,0,10,3,3
80,1,2,49,0,10,3,3
80,1,2,49,0,10,3,3
80,1,2,49,0,10,3,3
80,1,2,49,0,10,3,3
80,1,2,49,0,10,3,3
80,1,2,49,0,10,3,3
80,1,2,49,0,10,3,3
80,1,2,50,0,11,3,3
80,1,2,51,0,11,3,3
80,1,2,51,0,11,3,3
80,1,2,51,0,11,3,3
80,1,2,51,0,11,3,3
80,1,2,51,0,11,3,3
80,1,2,51,0,11,3,3
80,1,2,51,0,11,3,3
80,1,2,51,0,11,3,3
80,1,2,53,0,12,3,3
80,1,2,53,0,12,3,3
80,1,2,53,0,12,3,3
80,1,2,53,0,12,3,3
80,2,2,54,0,12,4,3
80,2,2,55,0,12,4,3
80,2,2,55,0,12,4,3
80,2,2,56,0,13,4,3
80,2,2,57,0,13,4,3
80,2,2,58,0,13,4,3
80,2,2,58,0,13,4,3
80,2,2,59,0,13,4,3
80,2,2,60,0,13,4,3
80,2,2,60,0,13,4,3
80,2,2,60,0,13,4,3
80,2,2,60,0,13,4,3
80,2,2,61,0,13,4,3
80,2,2,61,0,13,4,3
80,2,2,61,0,13,4,3
80,2,2,61,0,13,4,3
80,2,2,61,0,13,4,3
80,2,2,63,0,14,4,3
80,2,2,63,0,14,4,3
80,2,2,64,0,14,4,3
80,2,2,64,0,14,4,3
80,2,2,64,0,14,4,3
80,2,2,64,0,14,4,3
80,2,2,64,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,65,0,14,4,3
80,2,2,66,0,14,5,3
80,2,2,66,0,14,5,3
80,2,2,66,0,14,5,3
80,2,2,66,0,14,5,3
80,2,2,66,0,14,5,3
80,2,2,66,0,14,5,3
80,2,2,66,0,14,5,3
80,2,2,66,0,14,5,3
80,2,2,66,0,14,5,3
80,2,2,67,0,14,5,3
80,2,2,67,0,14,5,3
80,2,2,67,0,14,5,3
80,2,2,67,0,14,5,3
80,2,2,68,0,14,6,3
80,2,2,68,0,14,6,3
80,2,2,68,0,14,6,3
80,2,2,68,0,14,6,3
80,2,2,68,0,14,6,3
80,2,2,68,0,14,6,3
80,2,2,68,0,14,6,3
80,2,2,69,0,14,7,3
80,2,2,70,0,14,8,3
80,2,2,70,0,14,8,3
80,2,2,70,0,14,8,3
80,2,2,71,0,14,8,3
80,2,2,71,0,14,8,3
80,2,2,72,0,14,9,3
80,2,2,72,0,14,9,3
80,2,2,72,0,14,9,3
80,2,2,72,0,14,9,3
80,2,2,72,0,14,9,3
80,2,2,73,0,14,9,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,0,14,10,3
80,2,2,74,1,14,10,3
80,2,2,75,1,14,10,3
80,2,2,75,1,14,10,3
80,2,2,75,1,14,10,3
80,2,2,75,1,14,10,3
80,2,2,75,1,14,10,3
80,2,2,75,1,14,10,3
80,2,2,75,1,14,10,3
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
75,0,0,1,0,0,0,0
75,0,0,1,0,0,0,1
75,0,0,1,0,0,0,1
75,0,0,1,0,0,0,1
75,0,0,1,0,0,0,1
75,0,0,1,0,0,0,1
75,0,0,1,0,0,0,1
75,0,0,2,0,1,0,1
75,0,0,2,0,1,0,1
75,0,0,3,0,1,0,1
75,0,0,3,0,1,0,1
75,0,0,3,0,1,0,1
75,0,0,4,0,2,0,1
75,0,0,5,0,2,0,1
75,0,0,6,0,2,0,1
75,0,0,7,0,2,0,1
75,0,0,8,0,2,0,1
75,0,0,8,0,2,0,1
75,0,0,8,0,2,0,1
75,0,0,9,0,2,0,1
75,0,0,10,0,3,0,1
75,0,0,10,0,3,0,1
75,0,0,10,0,3,0,1
75,0,0,10,0,3,0,1
75,0,0,11,0,3,0,1
75,1,0,12,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,13,0,4,0,1
75,1,0,14,0,4,0,1
75,1,0,14,0,4,0,1
75,1,0,14,0,4,0,1
75,2,0,15,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,16,0,5,0,1
75,2,0,17,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,18,0,5,1,1
75,2,0,19,0,5,1,1
75,2,0,19,0,5,1,1
75,2,0,20,0,5,1,1
75,2,0,20,0,5,1,2
75,2,0,20,0,5,1,2
75,2,0,21,0,6,1,2
75,2,0,21,0,6,1,2
75,2,0,22,0,7,1,2
75,2,0,23,0,7,1,2
75,2,0,24,0,7,1,3
75,2,0,25,0,8,1,3
75,2,1,25,0,8,2,3
75,2,1,25,0,8,2,3
75,2,1,25,0,8,2,3
75,2,1,25,0,8,2,3
75,2,1,26,0,8,2,3
75,2,1,26,0,8,2,3
75,2,1,26,0,8,2,3
75,2,1,26,0,8,2,3
75,2,1,26,0,8,2,3
75,2,1,27,0,9,2,3
75,2,1,28,0,9,2,3
75,2,1,28,0,9,2,3
75,2,1,28,0,9,2,3
