demands,rsf,rse,success,time_over
48,0,0,0,0
48,0,0,0,0
48,0,0,2,0
48,0,2,3,0
48,0,2,3,0
48,0,4,3,0
48,1,5,3,0
48,1,6,4,0
48,3,9,4,0
48,3,10,4,0
48,3,11,4,0
48,3,11,4,0
48,3,11,5,0
48,3,16,8,0
48,3,22,10,0
48,3,28,12,0
48,4,30,12,0
48,6,31,12,0
48,8,31,12,0
48,10,37,10,0
48,10,38,10,0
48,11,38,10,0
48,11,38,10,0
48,11,38,10,1
48,11,38,11,3
48,11,38,11,4
48,11,38,11,5
48,11,38,11,7
48,11,38,11,7
48,11,38,11,9
48,11,38,11,9
demands,rsf,rse,success,time_over
48,0,0,0,0
48,0,0,0,0
48,0,0,2,0
48,0,2,3,0
48,0,2,3,0
48,0,4,3,0
48,1,5,3,0
48,1,6,4,0
48,3,9,4,0
48,3,10,4,0
48,3,11,4,0
48,3,11,4,0
48,3,11,5,0
48,3,16,8,0
48,3,22,10,0
48,3,28,12,0
48,4,30,12,0
48,6,31,12,0
48,8,31,12,0
48,10,37,10,0
48,10,38,10,0
48,11,38,10,0
48,11,38,10,0
48,11,38,10,1
48,11,38,11,3
48,11,38,11,4
48,11,38,11,5
48,11,38,11,7
48,11,38,11,7
48,11,38,11,9
48,11,38,11,9
demands,rsf,rse,success,time_over
35,0,0,0,0
35,0,0,0,0
35,0,0,0,0
35,0,0,0,0
35,0,0,0,0
35,0,0,0,0
35,0,0,0,0
35,0,0,0,0
35,0,0,0,0
35,0,0,1,0
35,1,1,1,0
35,1,1,1,0
35,1,1,2,0
35,2,3,3,0
35,2,7,5,0
35,2,11,6,0
35,4,13,6,0
35,6,14,6,0
35,8,15,6,0
35,9,17,10,0
35,9,18,10,0
35,9,18,11,0
35,9,18,11,0
35,9,18,11,1
35,9,18,12,3
35,9,18,12,4
35,9,18,12,5
35,9,18,12,7
35,9,18,12,7
35,9,18,12,9
35,9,18,12,9
demands,rsf,rse,success,time_over
29,0,0,0,0
29,0,0,0,0
29,0,0,0,0
29,0,0,0,0
29,0,0,0,0
29,0,0,0,0
29,0,0,0,0
29,0,0,0,0
29,0,0,0,0
