5 cars 1 times
demands,rdf,rde,success,time_over
169,0,5,1,0
169,2,11,2,0
169,5,19,2,0
169,8,25,2,0
169,10,28,2,0
169,10,29,2,0
169,11,34,2,0
169,13,41,2,0
169,13,46,3,0
169,16,55,3,0
169,16,57,3,0
169,17,65,3,0
169,18,70,3,0
169,21,75,3,0
169,23,80,3,0
169,25,84,3,0
169,25,86,4,3
169,26,94,5,3
169,26,95,5,4
169,26,100,5,6
169,27,104,5,8
169,27,107,5,15
169,27,109,5,22
169,27,109,5,29
169,27,109,5,35
169,27,109,5,40
169,27,109,5,44
169,27,109,5,48
169,27,109,5,50
169,27,109,5,55
169,27,109,5,55
5 cars 2 times
demands,rdf,rde,success,time_over
159,0,3,2,0
159,2,12,2,0
159,3,17,2,0
159,5,25,2,0
159,6,27,2,0
159,8,30,2,0
159,10,35,2,0
159,11,40,2,0
159,12,46,2,0
159,12,49,2,0
159,12,52,3,0
159,12,57,3,0
159,13,61,3,0
159,13,65,3,0
159,14,71,3,0
159,14,76,4,1
159,14,81,4,3
159,15,84,4,6
159,15,89,4,10
159,15,90,5,11
159,16,93,5,13
159,17,98,5,14
159,17,99,5,17
159,17,99,5,22
159,17,99,5,25
159,17,99,5,30
159,17,99,5,36
159,17,99,5,44
159,17,99,5,48
159,17,99,5,55
159,17,99,5,55
5 cars 3 times
demands,rdf,rde,success,time_over
165,0,4,2,0
165,0,9,2,0
165,1,13,2,0
165,2,21,2,0
165,3,26,2,0
165,4,28,2,0
165,5,35,2,0
165,5,37,2,0
165,7,44,2,0
165,10,49,2,0
165,11,56,3,0
165,13,61,3,0
165,13,67,3,0
165,13,73,4,0
165,13,75,4,0
165,14,81,4,1
165,14,83,4,2
165,14,86,4,4
165,14,89,4,8
165,14,90,5,8
165,15,94,5,13
165,16,98,5,17
165,16,98,6,19
165,16,98,6,23
165,16,98,6,31
165,16,98,6,35
165,16,98,6,41
165,16,98,6,47
165,16,98,6,54
165,16,98,6,59
165,16,98,6,59
5 cars 4 times
demands,rdf,rde,success,time_over
189,0,4,2,0
189,2,7,2,0
189,4,12,2,0
189,8,19,2,0
189,10,29,2,0
189,15,38,2,0
189,18,45,2,0
189,19,49,2,0
189,21,57,2,0
189,25,66,2,0
189,28,72,2,0
189,32,79,2,0
189,36,88,2,0
189,38,95,2,0
189,42,103,3,0
189,43,107,4,0
189,43,108,4,1
189,44,113,4,2
189,44,114,4,4
189,45,116,4,8
189,47,119,4,10
189,49,122,4,15
189,50,124,4,18
189,50,124,4,24
189,50,124,4,30
189,50,124,4,36
189,50,124,4,41
189,50,124,4,50
189,50,124,4,55
189,50,124,4,61
189,50,124,4,61
5 cars 5 times
demands,rdf,rde,success,time_over
164,0,2,1,0
164,1,7,2,0
164,2,13,2,0
164,2,17,2,0
164,3,20,2,0
164,5,28,2,0
164,7,32,2,0
164,8,34,2,0
164,9,41,2,0
164,9,44,3,0
164,9,49,4,0
164,10,56,4,0
164,11,62,4,0
164,13,68,4,0
164,13,70,4,0
164,13,75,4,0
164,13,82,4,3
164,13,84,4,4
164,15,88,4,7
164,17,93,4,9
164,20,99,4,14
164,23,103,4,17
164,23,103,4,25
164,23,103,4,29
164,23,103,4,31
164,23,103,4,37
164,23,103,4,43
164,23,103,4,45
164,23,103,4,50
164,23,103,4,57
164,23,103,4,57
5 cars 6 times
demands,rdf,rde,success,time_over
153,0,6,1,0
153,1,11,2,0
153,2,14,2,0
153,3,19,2,0
153,5,25,2,0
153,5,30,2,0
153,5,36,2,0
153,7,44,2,0
153,7,48,2,0
153,8,51,2,0
153,10,57,3,0
153,12,63,3,0
153,14,68,3,0
153,15,71,3,0
153,16,75,3,1
153,20,83,3,1
153,21,85,3,3
153,21,87,4,4
153,21,89,4,5
153,24,92,4,8
153,24,95,5,9
153,24,98,5,12
153,25,101,5,14
153,25,101,5,19
153,25,101,5,23
153,25,101,5,28
153,25,101,5,33
153,25,101,5,36
153,25,101,5,42
153,25,101,5,45
153,25,101,5,45
