demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
9,0,0,2,0,0,0,0
9,1,0,2,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,3,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,4,0,0,0,0
9,5,0,4,0,0,0,0
9,5,0,4,0,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
9,0,0,2,0,0,0,0
9,1,0,2,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,3,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,4,0,0,0,0
9,5,0,4,0,0,0,0
9,5,0,4,0,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
9,0,0,2,0,0,0,0
9,1,0,2,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,3,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,4,0,0,0,0
9,5,0,4,0,0,0,0
9,5,0,4,0,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
9,0,0,2,0,0,0,0
9,1,0,2,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,3,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,4,0,0,0,0
9,5,0,4,0,0,0,0
9,5,0,4,0,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
9,0,0,2,0,0,0,0
9,1,0,2,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,3,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,4,0,0,0,0
9,5,0,4,0,0,0,0
9,5,0,4,0,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
9,0,0,2,0,0,0,0
9,1,0,2,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,2,0,3,0,0,0,0
9,3,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,3,0,0,0,0
9,4,0,4,0,0,0,0
9,5,0,4,0,0,0,0
9,5,0,4,0,0,0,0
