no relocate
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
366,0,0,1,0,0,0,0
366,0,0,3,0,0,0,0
366,0,0,3,0,0,0,0
366,0,0,3,0,0,0,0
366,1,0,3,0,0,0,0
366,2,1,5,0,0,0,0
366,2,1,6,0,0,0,0
366,4,1,6,0,0,0,0
366,4,2,8,0,0,0,0
366,4,2,8,0,0,0,0
366,4,5,10,0,0,0,0
366,4,5,10,0,0,0,0
366,4,5,12,0,0,0,0
366,5,8,13,0,0,0,0
366,5,11,15,0,0,0,0
366,7,13,15,0,0,0,0
366,9,15,16,0,0,0,0
366,9,15,17,0,0,0,0
366,12,18,17,0,0,0,0
366,13,19,17,0,0,0,0
366,15,21,17,0,0,0,0
366,15,21,18,0,0,0,0
366,15,21,19,0,0,0,0
366,15,24,19,0,0,0,0
366,15,24,19,0,0,0,0
366,15,24,20,0,0,0,0
366,19,26,23,0,0,0,0
366,19,26,24,0,0,0,0
366,19,28,25,0,0,0,0
366,19,28,25,0,0,0,0
366,19,28,25,0,0,0,0
366,19,28,26,0,0,0,0
366,22,30,26,0,0,0,0
366,22,30,26,0,0,0,0
366,22,33,26,0,0,0,0
366,23,34,26,0,0,0,0
366,23,34,28,0,0,0,0
366,23,37,29,0,0,0,0
366,23,37,29,0,0,0,0
366,24,38,30,0,0,0,0
366,24,38,31,0,0,0,0
366,24,38,33,0,0,0,0
366,24,38,33,0,0,0,0
366,24,38,34,0,0,0,0
366,25,40,35,0,0,0,0
366,25,40,38,0,0,0,0
366,25,40,39,0,0,0,0
366,25,40,39,0,0,0,0
366,26,43,40,0,0,0,0
366,27,43,40,0,0,0,0
366,27,44,40,0,0,0,0
366,27,46,40,0,0,0,0
366,30,51,41,0,0,0,0
366,32,54,41,0,0,0,0
366,32,54,43,0,0,0,0
366,33,54,44,0,0,0,0
366,33,54,45,0,0,0,0
366,33,54,45,0,0,0,0
366,33,55,45,0,0,0,0
366,34,55,45,0,0,0,0
366,35,55,47,0,0,0,0
366,35,55,48,0,0,0,0
366,38,59,49,0,0,0,0
366,38,60,52,0,0,0,0
366,39,64,52,0,0,0,0
366,39,69,54,0,0,0,0
366,39,70,55,0,0,0,0
366,40,72,56,0,0,0,0
366,40,72,56,0,0,0,0
366,41,73,56,0,0,0,0
366,41,77,57,0,0,0,0
366,41,77,59,0,0,0,0
366,44,77,60,0,0,0,0
366,44,78,60,0,0,0,0
366,44,79,60,0,0,0,0
366,46,80,63,0,0,0,0
366,48,80,64,0,0,0,0
366,48,84,64,0,0,0,0
366,48,86,64,0,0,0,0
366,48,86,65,0,0,0,0
366,49,88,66,0,0,0,0
366,49,88,67,0,0,0,0
366,49,90,67,0,0,0,0
366,50,91,67,0,0,0,0
366,50,91,69,0,0,0,0
366,50,93,70,0,0,0,0
366,50,94,70,0,0,0,0
366,50,96,70,0,0,0,0
366,50,96,70,0,0,0,0
366,52,97,71,0,0,0,0
366,52,98,71,0,0,0,0
366,54,98,71,0,0,0,0
366,54,99,73,0,0,0,0
366,55,99,73,0,0,0,0
366,58,104,74,0,0,0,0
366,58,104,74,0,0,0,0
366,58,105,75,0,0,0,0
366,59,106,76,0,0,0,0
366,60,106,76,0,0,0,0
366,61,108,76,0,0,0,0
366,61,108,77,0,0,0,0
366,61,109,79,0,0,0,0
366,64,110,79,0,0,0,0
366,65,111,80,0,0,0,0
366,65,113,82,0,0,0,0
366,65,113,82,0,0,0,0
366,66,113,83,0,0,0,0
366,66,113,84,0,0,0,0
366,66,113,84,0,0,0,0
366,66,113,85,0,0,0,0
366,66,115,86,0,0,0,0
