i,j,t_start,t_goal,current,mode
8,1,4,5,4,demand
2,6,10,11,10,demand
2,9,16,17,16,demand
9,4,33,34,33,demand
2,8,36,37,36,demand
4,7,38,39,38,demand
4,5,53,54,53,demand
0,3,70,71,70,demand
6,9,73,74,73,demand
5,2,81,82,81,demand
1,5,88,89,88,demand
1,6,92,93,92,demand
1,4,106,107,106,demand
9,2,120,121,120,demand
5,0,131,132,131,demand
7,8,133,134,133,demand
5,1,151,152,151,demand
7,4,154,155,154,demand
1,5,162,163,162,demand
4,5,164,165,164,demand
8,4,174,175,174,demand
4,9,176,177,176,demand
3,4,181,182,181,demand
3,1,187,188,187,demand
2,8,198,199,198,demand
8,7,207,208,207,demand
0,8,224,225,224,demand
4,2,227,228,227,demand
5,1,227,228,227,demand
8,5,232,233,232,demand
5,1,233,234,233,demand
4,5,239,240,239,demand
