,type,y,x,t,size
0,car0,38.1461,30.9715,0,1
1,car0,38.1461,30.9715,1,1
2,car0,38.1461,30.9715,2,1
3,car0,38.1461,30.9715,3,1
4,car0,38.1461,30.9715,4,1
5,car0,38.1462,30.9715,5,1
6,car0,39.9699,32.3782,6,1
7,car0,41.7936,33.7849,7,1
8,car0,43.6173,35.1916,8,1
9,car0,45.441,36.5983,9,1
10,car0,47.2647,38.005,10,1
11,car0,49.0884,39.4117,11,1
12,car0,50.9121,40.8184,12,1
13,car0,52.7358,42.2251,13,1
14,car0,54.5595,43.6318,14,1
15,car0,56.3832,45.0385,15,1
16,car0,58.2069,46.4452,16,1
17,car0,60.0306,47.8519,17,1
18,car0,61.8539,49.2581,18,1
19,car0,61.8539,49.2581,19,1
20,car0,61.854,49.2581,20,1
21,car0,60.0303,47.8514,21,1
22,car0,58.2066,46.4447,22,1
23,car0,56.3829,45.038,23,1
24,car0,54.5592,43.6313,24,1
25,car0,52.7355,42.2246,25,1
26,car0,50.9118,40.8179,26,1
27,car0,49.0881,39.4112,27,1
28,car0,47.2644,38.0045,28,1
29,car0,45.4407,36.5978,29,1
30,car0,43.617,35.1911,30,1
31,car0,41.7933,33.7844,31,1
32,car0,39.9696,32.3777,32,1
33,car0,38.1461,30.9715,33,1
34,car0,38.1461,30.9715,34,1
35,car0,38.1461,30.9715,35,1
36,car0,38.1461,30.9715,36,1
37,car0,38.1461,30.9715,37,1
38,car0,38.1461,30.9715,38,1
39,car0,38.1461,30.9715,39,1
40,car0,38.1461,30.9715,40,1
41,car0,38.1461,30.9715,41,1
42,car0,38.1461,30.9715,42,1
43,car0,38.1461,30.9715,43,1
44,car0,38.1461,30.9715,44,1
45,car0,38.1461,30.9715,45,1
46,car0,38.1461,30.9715,46,1
47,car0,38.1461,30.9715,47,1
48,car0,38.1461,30.9715,48,1
49,car0,38.1461,30.9715,49,1
50,car0,38.1461,30.9715,50,1
51,car0,38.1461,30.9715,51,1
52,car0,38.1461,30.9715,52,1
53,car0,38.1461,30.9715,53,1
54,car0,38.1461,30.9715,54,1
55,car0,38.1461,30.9715,55,1
56,car0,38.1461,30.9715,56,1
57,car0,38.1461,30.9715,57,1
58,car0,38.1461,30.9715,58,1
59,car0,38.1461,30.9715,59,1
60,car0,38.1461,30.9715,60,1
61,car0,38.1461,30.9715,61,1
62,car0,38.1461,30.9715,62,1
63,car0,38.1461,30.9715,63,1
64,car0,38.1461,30.9715,64,1
65,car0,38.1461,30.9715,65,1
66,car0,38.1461,30.9715,66,1
67,car0,38.1461,30.9715,67,1
68,car0,38.1461,30.9715,68,1
69,car0,38.1461,30.9715,69,1
70,car0,38.1461,30.9715,70,1
71,car0,38.1461,30.9715,71,1
72,car0,38.1461,30.9715,72,1
73,car0,38.1461,30.9715,73,1
74,car0,38.1461,30.9715,74,1
