demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0
12,0,0,1,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,4,0,0,0,0
12,0,0,4,0,0,0,0
12,0,0,5,0,0,0,0
12,0,1,5,0,0,0,0
12,0,1,5,0,0,0,0
12,0,1,6,0,0,0,0
12,0,2,6,0,0,0,0
12,0,2,7,0,0,0,0
12,0,2,7,0,0,0,0
12,0,2,8,0,0,0,0
12,0,3,8,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0
12,0,0,1,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,3,0,0,0,0
12,0,0,4,0,0,0,0
12,0,0,4,0,0,0,0
12,0,0,5,0,0,0,0
12,0,1,5,0,0,0,0
12,0,1,5,0,0,0,0
12,0,1,6,0,0,0,0
12,0,2,6,0,0,0,0
12,0,2,7,0,0,0,0
12,0,2,7,0,0,0,0
12,0,2,8,0,0,0,0
12,0,3,8,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
12,0,3,9,0,0,0,0
