,type,y,x,t,size
0,car0,48.6895,47.5824,0,1
1,car0,48.6895,47.5824,1,1
2,car0,48.6895,47.5824,2,1
3,car0,48.6895,47.5824,3,1
4,car0,48.6895,47.5824,4,1
5,car0,48.6895,47.5824,5,1
6,car0,48.6895,47.5824,6,1
7,car0,48.6895,47.5824,7,1
8,car0,48.6895,47.5824,8,1
9,car0,48.6895,47.5824,9,1
10,car0,48.6895,47.5824,10,1
11,car0,48.6895,47.5824,11,1
12,car0,48.6895,47.5824,12,1
13,car0,48.6896,47.5824,13,1
14,car0,53.0578,64.0508,14,1
15,car0,53.0578,64.0508,15,1
16,car0,53.0578,64.0508,16,1
17,car0,53.0578,64.0508,17,1
18,car0,53.0578,64.0508,18,1
19,car0,53.0578,64.0508,19,1
20,car0,53.0578,64.0508,20,1
21,car0,53.0578,64.0508,21,1
22,car0,53.0578,64.0508,22,1
23,car0,53.0579,64.0508,23,1
24,car0,48.6895,47.5824,24,1
25,car0,48.6895,47.5824,25,1
26,car0,48.6895,47.5824,26,1
27,car0,48.6895,47.5824,27,1
28,car0,48.6895,47.5824,28,1
29,car0,48.6895,47.5824,29,1
30,car0,48.6895,47.5824,30,1
31,car1,48.6895,47.5824,0,1
32,car1,48.6895,47.5824,1,1
33,car1,48.6895,47.5824,2,1
34,car1,48.6895,47.5824,3,1
35,car1,48.6895,47.5824,4,1
36,car1,48.6895,47.5824,5,1
37,car1,48.6895,47.5824,6,1
38,car1,48.6895,47.5824,7,1
39,car1,48.6895,47.5824,8,1
40,car1,48.6895,47.5824,9,1
41,car1,48.6895,47.5824,10,1
42,car1,48.6895,47.5824,11,1
43,car1,48.6895,47.5824,12,1
44,car1,48.6895,47.5824,13,1
45,car1,48.6896,47.5824,14,1
46,car1,63.8989,41.4171,15,1
47,car1,63.8989,41.4171,16,1
48,car1,63.8989,41.4171,17,1
49,car1,63.8989,41.4171,18,1
50,car1,63.8989,41.4171,19,1
51,car1,63.8989,41.4171,20,1
52,car1,63.899,41.4171,21,1
53,car1,48.6896,47.5824,22,1
54,car1,63.8989,41.4171,23,1
55,car1,63.8989,41.4171,24,1
56,car1,63.8989,41.4171,25,1
57,car1,63.8989,41.4171,26,1
58,car1,63.8989,41.4171,27,1
59,car1,63.8989,41.4171,28,1
60,car1,63.8989,41.4171,29,1
61,car1,63.8989,41.4171,30,1
62,car2,48.6895,47.5824,0,1
63,car2,48.6895,47.5824,1,1
64,car2,48.6895,47.5824,2,1
65,car2,48.6895,47.5824,3,1
66,car2,48.6895,47.5824,4,1
67,car2,48.6895,47.5824,5,1
68,car2,48.6895,47.5824,6,1
69,car2,48.6895,47.5824,7,1
70,car2,48.6895,47.5824,8,1
71,car2,48.6895,47.5824,9,1
72,car2,48.6895,47.5824,10,1
73,car2,48.6895,47.5824,11,1
74,car2,48.6895,47.5824,12,1
75,car2,48.6895,47.5824,13,1
76,car2,48.6895,47.5824,14,1
77,car2,48.6895,47.5824,15,1
78,car2,48.6895,47.5824,16,1
79,car2,48.6895,47.5824,17,1
80,car2,48.6895,47.5824,18,1
81,car2,48.6895,47.5824,19,1
82,car2,48.6895,47.5824,20,1
83,car2,48.6896,47.5824,21,1
84,car2,36.1012,47.6615,22,1
85,car2,48.6896,47.5824,23,1
86,car2,53.0578,64.0508,24,1
87,car2,53.0578,64.0508,25,1
88,car2,53.0578,64.0508,26,1
89,car2,53.0578,64.0508,27,1
90,car2,53.0578,64.0508,28,1
91,car2,53.0578,64.0508,29,1
92,car2,53.0578,64.0508,30,1
93,car3,48.6895,47.5824,0,1
94,car3,48.6895,47.5824,1,1
95,car3,48.6895,47.5824,2,1
96,car3,48.6895,47.5824,3,1
97,car3,48.6895,47.5824,4,1
98,car3,48.6895,47.5824,5,1
99,car3,48.6895,47.5824,6,1
100,car3,48.6895,47.5824,7,1
101,car3,48.6895,47.5824,8,1
102,car3,48.6895,47.5824,9,1
103,car3,48.6895,47.5824,10,1
104,car3,48.6895,47.5824,11,1
105,car3,48.6895,47.5824,12,1
106,car3,48.6895,47.5824,13,1
107,car3,48.6895,47.5824,14,1
108,car3,48.6895,47.5824,15,1
109,car3,48.6895,47.5824,16,1
110,car3,48.6895,47.5824,17,1
111,car3,48.6895,47.5824,18,1
112,car3,48.6895,47.5824,19,1
113,car3,48.6895,47.5824,20,1
114,car3,48.6895,47.5824,21,1
115,car3,48.6895,47.5824,22,1
116,car3,48.6895,47.5824,23,1
117,car3,48.6895,47.5824,24,1
118,car3,48.6895,47.5824,25,1
119,car3,48.6895,47.5824,26,1
120,car3,48.6895,47.5824,27,1
121,car3,48.6895,47.5824,28,1
122,car3,48.6895,47.5824,29,1
123,car3,48.6895,47.5824,30,1
124,car4,48.6895,47.5824,0,1
125,car4,48.6895,47.5824,1,1
126,car4,48.6895,47.5824,2,1
127,car4,48.6895,47.5824,3,1
128,car4,48.6895,47.5824,4,1
129,car4,48.6895,47.5824,5,1
130,car4,48.6895,47.5824,6,1
131,car4,48.6895,47.5824,7,1
132,car4,48.6895,47.5824,8,1
133,car4,48.6895,47.5824,9,1
134,car4,48.6895,47.5824,10,1
135,car4,48.6895,47.5824,11,1
136,car4,48.6895,47.5824,12,1
137,car4,48.6895,47.5824,13,1
138,car4,48.6895,47.5824,14,1
139,car4,48.6895,47.5824,15,1
140,car4,48.6895,47.5824,16,1
141,car4,48.6895,47.5824,17,1
142,car4,48.6895,47.5824,18,1
143,car4,48.6895,47.5824,19,1
144,car4,48.6895,47.5824,20,1
145,car4,48.6895,47.5824,21,1
146,car4,48.6895,47.5824,22,1
147,car4,48.6895,47.5824,23,1
148,car4,48.6895,47.5824,24,1
149,car4,48.6895,47.5824,25,1
150,car4,48.6895,47.5824,26,1
151,car4,48.6895,47.5824,27,1
152,car4,48.6895,47.5824,28,1
153,car4,48.6895,47.5824,29,1
154,car4,48.6895,47.5824,30,1
155,car5,53.0578,64.0508,0,1
156,car5,53.0578,64.0508,1,1
157,car5,53.0578,64.0508,2,1
158,car5,53.0579,64.0508,3,1
159,car5,36.1011,47.6615,4,1
160,car5,36.1011,47.6615,5,1
161,car5,36.1011,47.6615,6,1
162,car5,36.1011,47.6615,7,1
163,car5,36.1011,47.6615,8,1
164,car5,36.1012,47.6615,9,1
165,car5,48.6895,47.5824,10,1
166,car5,48.6895,47.5824,11,1
167,car5,48.6895,47.5824,12,1
168,car5,48.6895,47.5824,13,1
