demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
212,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
212,0,0,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,1,0,0,0,0
212,1,1,2,0,0,0,0
212,1,1,2,0,0,0,0
212,1,1,2,0,0,0,0
212,1,1,2,0,0,0,0
212,1,1,2,0,0,0,0
212,1,1,2,0,0,0,0
212,1,1,2,0,0,0,0
212,1,1,2,0,0,0,0
212,1,1,2,0,0,0,0
212,2,2,4,0,0,0,0
212,4,2,4,0,0,0,0
212,4,2,4,0,0,0,0
212,4,2,4,0,0,0,0
212,4,3,4,0,0,0,0
212,5,4,4,0,0,0,0
212,6,4,5,0,0,0,0
212,6,4,5,0,0,0,0
212,7,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,5,0,0,0,0
212,8,4,6,0,0,0,0
212,8,5,7,0,0,0,0
212,8,5,9,0,0,0,0
212,8,5,9,0,0,0,0
212,8,5,9,0,0,0,0
212,8,5,9,0,0,0,0
212,8,5,10,0,0,0,0
212,8,5,10,0,0,0,0
212,8,5,10,0,0,0,0
212,10,6,11,0,0,0,0
212,10,6,11,0,0,0,0
212,10,6,11,0,0,0,0
212,11,6,12,0,0,0,0
212,11,6,13,0,0,0,0
212,11,6,13,0,0,0,0
212,11,6,13,0,0,0,0
212,13,7,13,0,0,0,0
212,13,7,13,0,0,0,0
212,13,7,13,0,0,0,0
212,13,7,13,0,0,0,0
212,13,8,13,0,0,0,0
212,13,9,13,0,0,0,0
212,13,9,13,0,0,0,0
212,13,9,13,0,0,0,0
212,13,9,13,0,0,0,0
212,15,9,13,0,0,0,0
212,15,9,13,0,0,0,0
212,15,9,13,0,0,0,0
212,15,9,13,0,0,0,0
212,15,9,13,0,0,0,0
212,15,9,13,0,0,0,0
212,16,9,13,0,0,0,0
212,16,9,13,0,0,0,0
212,16,9,15,0,0,0,0
212,16,9,15,0,0,0,0
212,16,9,15,0,0,0,0
212,18,9,15,0,0,0,0
212,18,9,15,0,0,0,0
212,19,9,15,0,0,0,0
212,20,10,15,0,0,0,0
212,20,10,15,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,16,0,0,0,0
212,20,10,17,0,0,0,0
212,20,10,17,0,0,0,0
212,20,10,18,0,0,0,0
212,20,10,18,0,0,0,0
212,20,10,18,0,0,0,0
212,20,10,18,0,0,0,0
212,20,10,18,0,0,0,0
