demands,rsf,rse,success,time_over,relocation_rsf_avail
146,1,1,5,0,0
146,2,6,6,0,0
146,2,11,6,0,0
146,2,15,9,0,0
146,2,20,10,0,0
146,2,21,10,0,0
146,3,24,11,0,0
146,6,32,11,0,0
146,6,34,13,0,0
146,7,37,15,0,0
146,9,39,17,0,0
146,9,40,20,0,0
146,16,46,20,0,0
146,20,48,20,0,0
146,25,51,20,0,0
146,27,52,24,0,0
146,32,52,24,0,0
146,34,52,27,0,0
146,37,52,27,0,0
146,40,54,28,0,0
146,41,54,29,2,0
146,43,55,30,3,0
146,44,55,31,4,0
146,44,55,34,5,0
146,45,57,34,6,0
146,46,57,34,8,0
146,46,57,34,12,0
146,46,57,34,16,0
146,46,57,34,17,0
146,46,57,34,23,0
146,46,57,34,23,0
demands,rsf,rse,success,time_over,relocation_rsf_avail
142,1,0,1,0,0
142,2,3,5,0,1
142,4,8,5,0,2
142,4,10,6,0,2
142,5,14,6,0,3
142,7,22,6,0,4
142,7,25,7,0,4
142,7,31,10,0,5
142,7,33,10,0,5
142,7,39,10,0,5
142,7,43,13,0,6
142,8,46,13,0,7
142,8,49,14,0,8
142,8,51,15,0,8
142,8,57,16,0,8
142,8,58,18,0,9
142,10,61,19,0,10
142,11,64,21,0,11
142,14,67,23,0,11
142,15,71,23,0,12
142,15,74,23,0,13
142,15,76,24,3,13
142,15,79,26,4,13
142,15,81,26,6,14
142,15,81,28,8,15
142,17,81,27,11,15
142,17,81,27,16,15
142,17,81,27,20,15
142,17,81,27,25,15
142,17,81,27,28,15
142,17,81,27,28,15
