demands,rdf,rde,success,time_over
159,0,5,1,0
159,0,9,1,0
159,1,16,2,0
159,3,21,2,0
159,5,24,2,0
159,6,29,2,0
159,11,37,2,0
159,13,40,2,0
159,13,43,2,0
159,19,52,2,0
159,21,58,2,0
159,21,61,2,0
159,23,69,3,0
159,26,75,3,0
159,26,77,3,0
159,26,80,5,0
159,28,85,5,0
159,28,91,5,1
159,28,92,5,1
159,28,96,5,2
159,28,99,5,7
159,28,103,5,12
159,28,106,5,15
159,29,108,5,19
159,29,109,5,21
159,29,110,5,24
159,29,110,5,28
159,29,110,5,34
159,29,110,5,38
159,29,110,5,44
159,29,110,5,44
