i,j,t_start,t_goal,current,mode
5,7,8,13,8,demand
9,3,15,20,15,demand
8,9,32,40,32,demand
7,9,51,55,51,demand
9,8,72,80,72,demand
5,9,86,90,86,demand
6,5,87,88,87,rse-release
8,4,92,99,92,demand
3,0,101,102,101,rsf-avail
9,3,101,106,101,demand
2,1,102,109,102,demand
3,2,103,106,103,rse-release
3,7,109,114,109,demand
7,6,109,116,109,demand
7,9,114,118,114,demand
9,7,115,119,115,rse-release
7,8,124,135,124,demand
9,7,125,129,125,rse-release
4,9,131,139,131,demand
2,4,133,140,133,demand
3,2,134,137,134,rse-release
0,3,147,148,147,rsf-avail
2,0,147,151,147,demand
3,2,148,151,148,rse-release
7,2,171,178,171,demand
1,5,172,175,172,rsf-avail
2,1,172,179,172,demand
5,7,173,178,173,demand
1,8,181,187,181,demand
3,5,220,226,220,demand
0,3,223,224,223,rsf-avail
5,0,223,230,223,demand
1,5,236,239,236,demand
