i,j,t_start,t_goal,current,mode
8,1,4,5,4,demand
1,0,6,7,6,rsf-avail
5,1,6,7,6,demand
2,6,10,11,10,demand
2,9,16,17,16,demand
9,2,20,21,20,rsf-avail
4,9,20,21,20,demand
0,4,21,22,21,rse-release
9,4,33,34,33,demand
2,8,36,37,36,demand
4,7,38,39,38,demand
7,0,43,44,43,rsf-avail
9,7,43,44,43,demand
0,9,44,45,44,rse-release
4,5,53,54,53,demand
0,4,54,55,54,rse-release
2,5,54,55,54,demand
1,0,55,56,55,rse-release
7,0,57,58,57,rsf-avail
5,7,57,58,57,demand
7,5,59,60,59,demand
0,3,70,71,70,demand
9,1,70,71,70,demand
0,9,71,72,71,rse-release
1,0,72,73,72,rse-release
6,9,73,74,73,demand
5,0,75,76,75,rsf-avail
7,5,75,76,75,demand
0,7,76,77,76,rse-release
3,0,80,81,80,rsf-avail
0,8,80,81,80,demand
8,3,80,81,80,demand
5,2,81,82,81,demand
9,7,83,84,83,demand
0,2,87,88,87,demand
1,0,88,89,88,rse-release
1,5,88,89,88,demand
0,1,89,90,89,rse-release
1,0,90,91,90,rse-release
0,1,91,92,91,rse-release
1,0,92,93,92,rse-release
0,1,93,94,93,rse-release
1,0,94,95,94,rse-release
0,1,95,96,95,rse-release
1,0,96,97,96,rse-release
0,1,97,98,97,rse-release
1,0,98,99,98,rse-release
0,1,99,100,99,rse-release
1,0,100,101,100,rse-release
0,1,101,102,101,rse-release
1,0,102,103,102,rse-release
0,1,103,104,103,rse-release
1,0,104,105,104,rse-release
0,1,105,106,105,rse-release
1,0,106,107,106,rse-release
0,1,107,108,107,rse-release
1,0,108,109,108,rse-release
0,1,109,110,109,rse-release
1,0,110,111,110,rse-release
0,1,111,112,111,rse-release
1,0,112,113,112,rse-release
2,1,113,114,113,rse-release
0,6,114,115,114,demand
1,0,115,116,115,rse-release
0,1,116,117,116,rse-release
1,0,117,118,117,rse-release
0,1,118,119,118,rse-release
1,0,119,120,119,rse-release
0,1,120,121,120,rse-release
9,2,120,121,120,demand
1,9,121,122,121,rse-release
2,1,122,123,122,rse-release
1,0,123,124,123,rse-release
0,1,124,125,124,rse-release
1,0,125,126,125,rse-release
0,1,126,127,126,rse-release
5,0,127,128,127,rsf-rse
3,5,127,128,127,demand
6,3,129,130,129,demand
5,0,131,132,131,demand
7,8,133,134,133,demand
8,1,147,148,147,rsf-avail
9,8,147,148,147,demand
0,9,148,149,148,rse-release
8,0,149,150,149,rsf-avail
2,8,149,150,149,demand
5,1,151,152,151,demand
7,4,154,155,154,demand
0,7,155,156,155,rse-release
1,5,162,163,162,demand
4,5,164,165,164,demand
8,6,169,170,169,demand
5,0,170,171,170,rsf-avail
4,5,170,171,170,demand
0,4,171,172,171,rse-release
8,4,174,175,174,demand
4,9,176,177,176,demand
3,4,181,182,181,demand
4,0,187,188,187,rsf-avail
3,1,187,188,187,demand
2,4,187,188,187,demand
0,3,188,189,188,rse-release
5,0,189,190,189,rsf-avail
6,5,189,190,189,demand
7,6,197,198,197,demand
0,7,198,199,198,rse-release
2,8,198,199,198,demand
0,2,199,200,199,rse-release
1,0,200,201,200,rse-release
9,0,201,202,201,rsf-avail
3,9,201,202,201,demand
0,1,206,207,206,rsf-avail
7,0,206,207,206,demand
0,7,207,208,207,rse-release
8,7,207,208,207,demand
5,0,220,221,220,rsf-avail
2,5,220,221,220,demand
4,2,221,222,221,rsf-avail
7,4,221,222,221,demand
0,8,224,225,224,demand
5,0,225,226,225,rsf-avail
8,5,225,226,225,demand
1,2,227,228,227,rsf-avail
4,2,227,228,227,demand
5,1,227,228,227,demand
6,2,232,233,232,rsf-avail
0,6,232,233,232,demand
8,5,232,233,232,demand
1,0,233,234,233,rsf-avail
5,1,233,234,233,demand
1,2,234,235,234,rsf-avail
8,1,234,235,234,demand
6,2,237,238,237,rsf-avail
9,6,237,238,237,demand
4,5,239,240,239,demand
