i,j,t_start,t_goal,current,mode
8,1,4,10,4,demand
2,6,10,17,10,demand
3,2,11,14,11,rse-release
2,9,16,23,16,demand
3,2,17,20,17,rse-release
9,0,20,26,20,rsf-avail
4,9,20,28,20,demand
3,4,21,25,21,rse-release
9,4,33,41,33,demand
2,8,36,39,36,demand
3,2,37,40,37,rse-release
4,7,38,45,38,demand
7,2,43,50,43,rsf-avail
9,7,43,47,43,demand
4,5,53,62,53,demand
5,4,54,63,54,rsf-rse
2,5,54,62,54,demand
7,2,57,64,57,rsf-avail
5,7,57,62,57,demand
7,5,59,64,59,demand
1,3,70,77,70,rsf-avail
0,3,70,71,70,demand
9,1,70,77,70,demand
6,9,73,79,73,demand
5,0,75,82,75,rsf-avail
7,5,75,80,75,demand
9,7,76,80,76,rse-release
0,8,80,83,80,demand
8,3,80,82,80,demand
2,0,81,85,81,rsf-avail
5,2,81,89,81,demand
9,7,83,87,83,demand
5,9,84,88,84,rse-release
2,3,87,90,87,rsf-avail
0,2,87,91,87,demand
1,5,88,91,88,demand
1,6,92,95,92,demand
3,1,93,100,93,return_to_hub
3,1,94,101,94,return_to_hub
1,4,106,116,106,demand
6,0,114,122,114,rsf-avail
0,6,114,122,114,demand
2,0,120,124,120,rsf-avail
9,2,120,127,120,demand
5,9,121,125,121,rse-release
3,5,127,133,127,demand
6,3,129,135,129,demand
0,1,131,135,131,rsf-avail
5,0,131,138,131,demand
7,8,133,144,133,demand
8,3,147,149,147,rsf-avail
9,8,147,155,147,demand
5,9,148,152,148,rse-release
6,5,149,150,149,rse-release
1,3,151,158,151,rsf-avail
5,1,151,154,151,demand
6,5,152,153,152,rse-release
5,6,153,154,153,rse-release
4,5,154,163,154,rsf-rse
7,4,154,161,154,demand
9,7,155,159,155,rse-release
3,9,156,161,156,rse-release
1,5,162,165,162,demand
4,5,164,173,164,demand
8,6,169,177,169,demand
5,1,170,173,170,rsf-avail
4,5,170,179,170,demand
3,4,171,175,171,rse-release
8,4,174,181,174,demand
4,9,176,184,176,demand
3,4,181,185,181,demand
4,3,187,191,187,rsf-avail
2,4,187,194,187,demand
5,2,189,197,189,rsf-avail
6,5,189,190,189,demand
7,6,197,204,197,demand
9,7,198,202,198,rse-release
2,8,198,201,198,demand
5,6,201,202,201,demand
3,9,201,206,201,demand
0,2,206,210,206,rsf-avail
7,0,206,212,206,demand
9,7,207,211,207,rse-release
8,7,207,218,207,demand
2,5,220,228,220,demand
4,2,221,228,221,rsf-avail
7,4,221,228,221,demand
0,8,224,227,224,demand
5,0,225,232,225,rsf-avail
8,5,225,234,225,demand
2,0,227,231,227,rsf-avail
4,2,227,234,227,demand
6,3,232,238,232,rsf-avail
0,6,232,240,232,demand
1,3,233,240,233,rsf-avail
5,1,233,236,233,demand
1,5,234,237,234,rsf-avail
8,1,234,240,234,demand
